"","id","IP","browser","platform","language","age","gender","city","recognize","trial","trial_type","is_catch_trial","names","imgs","nrevs","stars","prices","mean_rating","num_options","category","cbsa","choice","rating_option","rating","targetrt","chosen_name","chosen_img","chosen_rating","chosen_nrev","chosen_price","confidence","confrt","time_elapsed"
"9351","yxKOTwgWDhXm",NA,"chrome","windows","UNKNOWN",45,"female","Cleveland-Elyria, OH","No",1,"choice",0,"Ichi Ban Japanese Restaurant, Yogis Grill, International Bistro","https://s3-media1.fl.yelpcdn.com/bphoto/nO68mUYkZuBnMdJQrN9G1g/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/jHqZtK-Lrno8Q6nX6RE47w/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/3f69UQtejwrfbmxGgoXfdw/o.jpg","61, 94, 4","2,3,3","2, 1, 2",2.66666666666667,3,"sushi","Phoenix-Mesa-Scottsdale, AZ","Yogis Grill",NA,NA,906.000000017229,"Yogis Grill","https://s3-media3.fl.yelpcdn.com/bphoto/jHqZtK-Lrno8Q6nX6RE47w/o.jpg",3,94,1,5,2303.99999997462,49133
"9352","yxKOTwgWDhXm",NA,"chrome","windows","UNKNOWN",45,"female","Cleveland-Elyria, OH","No",2,"choice",0,"Ploy Thai Cuisine, Ploythai Bistro, Chon Thai Food","https://s3-media2.fl.yelpcdn.com/bphoto/5t84DosL0MZBQhlgaPkjMg/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/l_Bxoyy5nyMiXv0IKXrguw/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/A6GO8uw-pis6btuq21y9_Q/o.jpg","25, 6, 233","4.5,4,4.5","2, 2, 2",4.33333333333333,3,"thai","Phoenix-Mesa-Scottsdale, AZ","Chon Thai Food",NA,NA,398.0000000156,"Chon Thai Food","https://s3-media2.fl.yelpcdn.com/bphoto/A6GO8uw-pis6btuq21y9_Q/o.jpg",4.5,233,2,4,2013.99999999558,57072
"9353","yxKOTwgWDhXm",NA,"chrome","windows","UNKNOWN",45,"female","Cleveland-Elyria, OH","No",3,"choice",0,"Chagrin River Diner, Crepes In the City, Kleifelds Restaurant","https://s3-media1.fl.yelpcdn.com/bphoto/e6sGhDlFnwtu95mMBwYpYw/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/yISV0so9R5GoEXkoq5Dajw/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/Eo3ShA6gI8uKdOucKa40VQ/o.jpg","12, 89, 55","4.5,4.5,4","1, 1, 1",4.33333333333333,3,"breakfast","Cleveland-Elyria, OH","Chagrin River Diner",NA,NA,233.99999999674,"Chagrin River Diner","https://s3-media1.fl.yelpcdn.com/bphoto/e6sGhDlFnwtu95mMBwYpYw/o.jpg",4.5,12,1,4,1925.00000001746,64752
"9354","yxKOTwgWDhXm",NA,"chrome","windows","UNKNOWN",45,"female","Cleveland-Elyria, OH","No",4,"choice",0,"Top Gourmet of China, NCE BBQ, Chef Quan","https://s3-media3.fl.yelpcdn.com/bphoto/sxeruY1NJ3HS-sIjTBoMoQ/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/oPxiwyY0HDSYDkh6y4kd6Q/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/jryFsbuOHymuv27Ejg8_Og/o.jpg","4, 13, 4","3,3.5,2","2, 2, 2",2.83333333333333,3,"chinese","Toronto","NCE BBQ",NA,NA,1016.99999999255,"NCE BBQ","https://s3-media3.fl.yelpcdn.com/bphoto/oPxiwyY0HDSYDkh6y4kd6Q/o.jpg",3.5,13,2,4,4273.99999997579,75563
"9355","yxKOTwgWDhXm",NA,"chrome","windows","UNKNOWN",45,"female","Cleveland-Elyria, OH","No",5,"rating",0,"Smokin Bones, Harlem Restaurant, Harlem Underground","https://s3-media1.fl.yelpcdn.com/bphoto/vwaK3Xz1Ol1IEe75qjIABg/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/UNlcKDU_KXLHgO2SSXKzVA/o.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/SmPbErkY5fnJkNZnufI-HQ/o.jpg","13, 95, 94","3.5,3,3","1, 2, 2",3.16666666666667,3,"southern","Toronto",NA,"Harlem Restaurant",80,2377.00000000768,"Harlem Restaurant","https://s3-media2.fl.yelpcdn.com/bphoto/UNlcKDU_KXLHgO2SSXKzVA/o.jpg",3,95,2,5,2746.00000001374,86221
"9356","yxKOTwgWDhXm",NA,"chrome","windows","UNKNOWN",45,"female","Cleveland-Elyria, OH","No",6,"rating",0,"Al Dente, Uncle Joes Family Restaurant, Aldente Ristorante Italiano","https://s3-media4.fl.yelpcdn.com/bphoto/T1r33hE-VTTZSyn8p4TGjA/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/es0Vx17YxvhwE__MnbgioQ/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/_NqL01ExNAfP9o2qicLJFA/o.jpg","15, 42, 4","2.5,3.5,2.5","3, 2, 3",2.83333333333333,3,"italian","Toronto",NA,"Aldente Ristorante Italiano",72,4302.99999998533,"Aldente Ristorante Italiano","https://s3-media2.fl.yelpcdn.com/bphoto/_NqL01ExNAfP9o2qicLJFA/o.jpg",2.5,4,3,5,1831.00000000559,97894
"9357","yxKOTwgWDhXm",NA,"chrome","windows","UNKNOWN",45,"female","Cleveland-Elyria, OH","No",7,"choice",0,"Sushi On Tropicana, Sushi Katsu, Tomo Sushi","https://s3-media4.fl.yelpcdn.com/bphoto/86VpNreGYcn3svm5pbsxUw/o.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/-oB-EGnEWoaj7Dr8y5ax_g/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/BdO1Orct9mJlltMOKwwEng/o.jpg","131, 17, 73","3.5,3.5,4.5","2, 2, 2",3.83333333333333,3,"sushi","Las Vegas-Henderson-Paradise, NV","Sushi Katsu",NA,NA,1377.99999999697,"Sushi Katsu","https://s3-media4.fl.yelpcdn.com/bphoto/-oB-EGnEWoaj7Dr8y5ax_g/o.jpg",3.5,17,2,4,2704.99999998719,107531
"9358","yxKOTwgWDhXm",NA,"chrome","windows","UNKNOWN",45,"female","Cleveland-Elyria, OH","No",8,"choice",0,"Max  Ermas, Champps, Hoggys Restaurant","https://s3-media2.fl.yelpcdn.com/bphoto/ZHWg2GeWDHEuHkqEESVqew/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/0nGQgwhX2tQy0aNcZCs3tg/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/BgHmP2wM6cUK3njyDUkV-w/o.jpg","17, 19, 3","2,3,2.5","2, 2, 2",2.5,3,"american","Cleveland-Elyria, OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118960
"9359","yxKOTwgWDhXm",NA,"chrome","windows","UNKNOWN",45,"female","Cleveland-Elyria, OH","No",9,"choice",0,"Little Coxwell Vietnamese  Thai Cuisine, Eathai, Thai Fusion Restaurant","https://s3-media1.fl.yelpcdn.com/bphoto/ZACxP4fzzA5Fr6frYVB9Jw/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/Wyhg5SK4fCm12qN7oKmFSw/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/NPJNIafLvVvmI06Nk47gJA/o.jpg","67, 13, 5","4,4,3.5","2, 2, 2",3.83333333333333,3,"thai","Toronto","Little Coxwell Vietnamese  Thai Cuisine",NA,NA,4538.99999998976,"Little Coxwell Vietnamese  Thai Cuisine","https://s3-media1.fl.yelpcdn.com/bphoto/ZACxP4fzzA5Fr6frYVB9Jw/o.jpg",4,67,2,4,2009.00000002002,131030
"9360","yxKOTwgWDhXm",NA,"chrome","windows","UNKNOWN",45,"female","Cleveland-Elyria, OH","No",10,"rating",0,"Double Zero Pizza Chinook, Il Centro, Wicked Wedge Pizza","https://s3-media1.fl.yelpcdn.com/bphoto/fpTLpkCEwaO7K8OIxEawgA/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/VbykGfe_N5AdVW5jFXKO4A/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/GgrfJvzljd0lX-PANF970Q/o.jpg","51, 21, 17","3.5,4.5,3.5","2, 2, 1",3.83333333333333,3,"pizza","Calgary",NA,"Wicked Wedge Pizza",80,2228.00000000279,"Wicked Wedge Pizza","https://s3-media2.fl.yelpcdn.com/bphoto/GgrfJvzljd0lX-PANF970Q/o.jpg",3.5,17,1,4,1842.00000000419,140660
